,Unnamed: 0,name,lat,lon,category,type,geometry,density
108,12,TAP Air Portugal,47.376019,8.545314,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [47.376019, 8.545314]}}",POINT (8.545314 47.376019),18
109,13,Turkish Airlines,47.370389,8.536057,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [47.370389, 8.536057]}}",POINT (8.536057 47.370389),46
110,14,US Airways,47.369319,8.534539,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [47.369319, 8.534539]}}",POINT (8.534539 47.369319),35
111,15,Aeroflot Russian Airlines,47.371986,8.534904,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [47.371986, 8.534904]}}",POINT (8.534904 47.371986),40
112,16,Air India,47.372419,8.534943,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [47.372419, 8.534943]}}",POINT (8.534943 47.372419),43
113,17,Malaysian Airlines,47.376727,8.540775,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [47.376727, 8.540775]}}",POINT (8.540775 47.376727),37
114,18,American Airlines,47.373045,8.534768,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [47.373045, 8.534768]}}",POINT (8.534768 47.373045),46
115,19,CSA Czech Airlines,47.374046,8.535632,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [47.374046, 8.535632]}}",POINT (8.535632 47.374046),47
116,20,Japan Air Lines Co Ltd,47.37263,8.533875,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [47.37263, 8.533875]}}",POINT (8.533875 47.37263),39
117,21,Iberia,47.374412,8.535538,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [47.374412, 8.535538]}}",POINT (8.535538 47.374412),46
118,22,EL AL Israel Airlines Ltd,47.374402,8.535444,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [47.374402, 8.535444]}}",POINT (8.535444 47.374402),45
119,23,TAM Brasiliens Fluglinie,47.374817,8.535817,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [47.374817, 8.535817]}}",POINT (8.535817 47.374817),48
120,24,British Airways,47.374817,8.535817,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [47.374817, 8.535817]}}",POINT (8.535817 47.374817),48
121,25,SAA South African Airways,47.374749,8.535683,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [47.374749, 8.535683]}}",POINT (8.535683 47.374749),47
122,26,Adria Airways,47.376263,8.537854,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [47.376263, 8.537854]}}",POINT (8.537854 47.376263),44
123,27,Air New Zealand,47.376388,8.538027,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [47.376388, 8.538027]}}",POINT (8.538027 47.376388),42
124,28,Avianca,47.377216,8.538251,Airport,"{'typepoint': {'type': 'Point', 'coordinates': [47.377216, 8.538251]}}",POINT (8.538251 47.377216),38
