name,lat,lon,category,type,geometry
Atelier Bar,47.37039,8.537618,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.37039, 8.537618]}}",POINT (8.537618 47.37039)
Mövenpick Wein-Bar,47.371016,8.537442,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.371016, 8.537442]}}",POINT (8.537442 47.371016)
Tales Bar,47.372937,8.5327,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.372937, 8.5327]}}",POINT (8.5327 47.372937)
Onyx Bar,47.366644,8.536161,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.366644, 8.536161]}}",POINT (8.536161 47.366644)
Aelpli Bar,47.371358,8.543312,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.371358, 8.543312]}}",POINT (8.543312 47.371358)
Griederbar,47.370469,8.539405,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.370469, 8.539405]}}",POINT (8.539405 47.370469)
Big Ben Pub,47.375084,8.544062,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.375084, 8.544062]}}",POINT (8.544062 47.375084)
Baryton Music-Bar,47.376176,8.538054,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.376176, 8.538054]}}",POINT (8.538054 47.376176)
Dada Bar,47.375854,8.543726,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.375854, 8.543726]}}",POINT (8.543726 47.375854)
Baradox,47.372879,8.53318,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.372879, 8.53318]}}",POINT (8.53318 47.372879)
Kunsthaus Bar,47.370732,8.549165,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.370732, 8.549165]}}",POINT (8.549165 47.370732)
Cigar-Bar,47.371251,8.541765,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.371251, 8.541765]}}",POINT (8.541765 47.371251)
Bang-On,47.374033,8.531896,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.374033, 8.531896]}}",POINT (8.531896 47.374033)
Lenox Bar,47.382685,8.54029,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.382685, 8.54029]}}",POINT (8.54029 47.382685)
Kater,47.378344,8.530015,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.378344, 8.530015]}}",POINT (8.530015 47.378344)
La Stanza,47.368474,8.536729,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.368474, 8.536729]}}",POINT (8.536729 47.368474)
Café Odéon,47.367702,8.545297,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.367702, 8.545297]}}",POINT (8.545297 47.367702)
Old Crow,47.372146,8.541082,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.372146, 8.541082]}}",POINT (8.541082 47.372146)
Bohemia,47.364735,8.554953,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.364735, 8.554953]}}",POINT (8.554953 47.364735)
Kronenhalle,47.367471,8.545658,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.367471, 8.545658]}}",POINT (8.545658 47.367471)
BarMünster,47.371802,8.543965,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.371802, 8.543965]}}",POINT (8.543965 47.371802)
Widder Garage,47.371711,8.540002,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.371711, 8.540002]}}",POINT (8.540002 47.371711)
Imbiss Riviera,47.367557,8.544417,Bar,"{'typepoint': {'type': 'Point', 'coordinates': [47.367557, 8.544417]}}",POINT (8.544417 47.367557)
